repo_name,commit,message,Author_email,commit_date,is_corrective,is_English,message_length
GridProtectionAlliance/openMIC,ca2061c98153d2af9e6424be6052f81a0d5d84f2,"update models to use UrlValidation regex string in GSF.Web.Model.DataContext
",1c3ef58ba0eb5fc8c3f0ead7af121d559b3d62e0@gmail.com,2016-08-04 19:56:38 UTC,0,1,77
tim-taylor/evobee,b13d5ca3cac2523ee15e2fd0407bb6d9d2e90de0,docs/markdown/evobee-config.md updated from https://stackedit.io/,5ee0edb9e2229c0838f1959779f1949031de0123@tim-taylor.com,2019-08-08 15:54:50 UTC,0,1,65
servicosgovbr/cartas-de-homologacao,a9ccec39d186417b94b75c109bc39882a9fa6a71,Altera 'cadastrar-se-no-programa-de-alimentacao-do-trabalhador',e16a364eda6aba8801f8e9af1b0f28183fe8bbee@planejamento.gov.br,2017-04-28 20:26:14 UTC,0,0,63
mseemann/angular2-mdl,d559b15deba454e41c7e62b80064804739894ce4,"try to optimize remap and cache node_modules
",8467e1252cfb1bf57a5d060300ee822fa1f37cf8@mseemann.de,2016-06-23 07:26:13 UTC,0,1,45
metasploit/metasploit.github.io,e7642191980eb9ff945656ffb17852d624739a97,"Update to a47dce2 from source
",faa69970c7fe1d77c74b1485c905463ba282eac6@rapid7.com,2018-04-09 12:25:06 UTC,0,1,30
rodrigobraga/informer,8a5ef78936e42f94462f5f7c1eac4b8705ba0182,"Avoid save data that not appear in measures.
",bc457598d2767c6e9804b87bda8fec8607596f9c@msn.com,2015-11-09 10:50:17 UTC,1,1,45
davidl/checknums,58bb9842b5109b1f5288adc44d2dea5920ab8e35,"Auto-generated commit from Glitch
",901dce2a39eb24e7f98f2486c197178b7eb43d32@gmail.com,2017-11-19 03:00:34 UTC,0,1,34
JoeZ-EE/LeetCodeSolutionsInJavaAndCpp,382087a2e7f50f2185e26e049945424ce00251cc,"add question 190
",35699c79e3366050c24b2f46dd499bb35d1dcdb8@sjtu.edu.cn,2017-08-08 03:42:00 UTC,0,0,17
QuantiModo/quantimodo-android-chrome-ios-web-app,2ce1dc78ccb41830241227c65c23dd7c3f8d08d0,"Inbox fixes

",6b0d31c0d563223024da45691584643ac78c96e8@quantimodo.com,2017-06-23 00:38:07 UTC,1,0,13
StoDevX/AAO-React-Native,d64b61572ecbc8494cb69f1e46a058c2bf3599a3,"Fix the Skoglund Pool building hours
",1ed31cfd0b53bc3d1689a6fee6dbfc9507dffd22@gmail.com,2017-09-12 22:39:35 UTC,1,1,37
apache/servicemix-bundles,3b66689478cb457ae764939da37e24976e8cd825,"[maven-release-plugin] prepare for next development iteration

git-svn-id: 7c2c3531dbcbd718fd0944e5c1954c141473ed4b@1291931 13f79535-47bb-0310-9956-ffa450edef68
",b29f906215354b2d63cd7fb7b9919be54e0af7cd@apache.org,2012-02-21 17:16:52 UTC,0,1,161
gasvaktin/gasvaktin,eb8bec8f89d26d5b9e212a8317971a171d6164cc,"auto.trends.update.2019-04-16T11:31:22.058468
",f87bbec0597e644bc04f0c50ad205c2e310ebdbd@gmail.com,2019-04-16 11:31:24 UTC,0,0,46
debearchive/debearchive.github.io,e04c788293a6493a308d69f984daafcffe711b63,"05-11-2017
",a94a8fe5ccb19ba61c4c0873d391e987982fbbd3@test.com,2017-05-11 20:44:42 UTC,0,0,11
zalando/tracer,a06a375be66ab6f1d83e6b40de1931052d7619a6,"Bump lombok from 1.16.22 to 1.18.0

Bumps [lombok](https://github.com/rzwitserloot/lombok) from 1.16.22 to 1.18.0.
- [Release notes](https://github.com/rzwitserloot/lombok/releases)
- [Changelog](https://github.com/rzwitserloot/lombok/blob/master/doc/changelog.markdown)
- [Commits](https://github.com/rzwitserloot/lombok/compare/v1.16.22...v1.18.0)

Signed-off-by: dependabot[bot] <5bdcd3c0d4d24ae3e71b3b452a024c6324c7e4bb@dependabot.com>",5bdcd3c0d4d24ae3e71b3b452a024c6324c7e4bb@dependabot.com,2018-06-05 04:18:07 UTC,0,2,439
gentoo-mirror/wjn-overlay,40dc172204be95bbd826c33ee426c7b46377d346,"net-firewall/firewalld: Add version 0.5.1, delete old versions
",d62cc0b725aa08848f2bd2800bf19a2066a39d97@aol.jp,2018-02-12 03:45:50 UTC,0,0,63
hotosm/hotosm-website,495c47a42660fc69f2463714171891cf0254c88c,"Update tools layout with block module
",ef42bab1191da272f13935f78c401e3de0c11afb@brendangatens.com,2018-03-13 08:16:08 UTC,0,1,38
global-input/global-input-web,00cb07fa49fbe639e22c156c891e091d5cdc8a6b,"update for next development version
",1c585da0899a0110219b9521eb68594e88d31eae@gmail.com,2018-07-11 11:44:17 UTC,0,1,36
AppGet/AppGet.Packages,ae8abc9245c5ad3a461ca49529865442682551c9,"Batch Update
",b1c1d8736f20db3fb6c1c66bb1455ed43909f0d8@keivan.io,2018-05-19 22:22:08 UTC,0,0,13
marklogic/marklogic-contentpump,63d4a1f817069598381a716ba7ca68c1101d2b0f,"removing old nightly packages
",f52318a05e518a5596012af2ed38de68ac26a468@62cac252-8da6-4816-9e9d-6dc37b19578c,2013-05-21 07:28:36 UTC,0,0,30
Fody/Anotar,91ed47502edb34fdae9c01be62d4e63b489df788,"update fody
",faae053e2804b031d691dd3e23f6a26052e31b14@gmail.com,2019-04-08 11:30:38 UTC,0,0,12
bitrise-io/devcenter,b66ceca46568f149aebb10280132e35992b5b5ee,"Update from Forestry.io
Anna Banyik updated _articles/en/getting-started/getting-started-with-flutter-apps.md",e05036df9b16bca87d51b0b76de7b6aae1b26b8c@bitrise.io,2019-06-07 07:23:45 UTC,0,1,109
joejollands/contribomatic,6ba0ecfa4e28b6ad2175bee06af505f419f813cc,"Updated Log File at 2016-11-06:09:00:01
",e28cacaa504b25ab20c63c8448064bddb009b60d@igcenterprises.com,2016-11-06 08:00:01 UTC,0,0,40
alphatwirl/alphatwirl,a7f91c99f1ee40de51ba7171f7f76a4942deaeaf,"removed deprecated option job_desc_extra from HTCondorJobSubmitter
",563a150f456161864db1bd35d2c0d8472ee52eaf@gmail.com,2019-03-15 09:33:51 UTC,0,1,67
bigfish1900/weather,989f2c7e5061ab3b182ceb25a022508ad239be5a,"generated files on 2019-09-23 13:08:02
",586de3e93052e7c79a7b16d12f22f3eaffc04c16@oneroundpebble.com,2019-09-23 03:08:02 UTC,0,0,39
dvarrui/libro-de-actividades,c53d481c6aa6fe605c48af87e7c526a576b137b4,"live-cd docs
",80e1b13d9d1c663abe2d7274da55d61652bb0ad8@gmail.com,2015-09-16 10:49:32 UTC,0,0,13
Kronos-Integration/kronos-interceptor-http-request,41b66c92fee5b008eb1a7214daf136066c306b11,"chore(scripts): cover@#overwrite c8 -x 'tests/**/*.mjs' --temp-directory build/tmp ava && c8 report -r lcov -o build/coverage --temp-directory build/tmp
chore(engines): node@>=12.10.0
chore(package): set $.ava.require='esm' as in template
chore(package): set $.ava.files='tests/*-test.mjs' as in template
chore(package): set $.ava.extensions='mjs' as in template
chore(travis): remove node versions 12.9.1
chore(travis): add node versions -10,-11,-12,12.10.0",d7345cc33cdae6a44846871372d59b8178f00e4c@gmx.de,2019-09-05 18:13:31 UTC,0,0,458
culturagovbr/sistema-nacional-cultura,c802bcd7a08b7ff6555c8793f1125af9c5b06e6c," Trocar link da opção 'Perguntas Frequentes
",6b1139d7b9b17833d0fc65f0b993fe3cf9fecd9a@hotmail.com,2019-01-25 16:19:08 UTC,0,0,44
thecontextnet/wiki-raw,8f3b67d073587cac0fefc9cb00f8759dadd8ac0c,"Raw update on Thu, 19 Oct 2017 16:00:02 UTC
",ab41949825606da179db7c89ddcedcc167b64847@thecontext.net,2017-10-19 16:02:14 UTC,0,0,44
AmyLewis/amylewis.github.io,bf1d07a2ac92de16ff7f6b91bcf4027d473c1a6c,"Site updated: 2019-10-16 01:57:19
",bbb5284c3ab4fdfe4d0737a3737c96b717596948@gmail.com,2019-10-15 17:57:20 UTC,0,0,34
Mistuke/GhcWindowsBuild,00c2017aa21430538be615c99107967380f19db8,"Daily build results for GHC Head:
",687701044c0b4acc7575a7839a82fd2a714ede37@zhox.com,2019-07-14 23:11:36 UTC,0,1,34
oVirt/releng-tools,212617b5edc5e1c5182e96c77ed5774e0cdef8ec,"4.2.5_rc1: add cockpit-ovirt

+ cockpit-ovirt-0.11.29-1

Change-Id: Id8dc2c467abb209ea885e78574070b99f6e6213e
Signed-off-by: Sandro Bonazzola <fcb014d63786651910af5db2ecc5316c668188ef@redhat.com>
",fcb014d63786651910af5db2ecc5316c668188ef@redhat.com,2018-06-28 16:08:58 UTC,0,0,196
ehmicky/Notes,a2accc13c20214ac3f59e42e6ed5102343279476,"no commit message
",53c2f88c963b7a19b8ccbffa423df9e1e52a212f@gmail.com,2019-10-06 21:19:28 UTC,0,0,18
MQCPack/mqcPack,5b024cbd7367d4e93fe9b7fed11edf30daf348b2,"Fixed merge conflict in Makefile.am
",e60fc250f26e3d0d506755ff1628fdceab176c6a@ucmerced.edu,2017-11-29 21:34:10 UTC,1,0,36
GridProtectionAlliance/projectalpha,f6d6f14fe239eb28a3b82821814d42061a74db71,"ProjectAlpha: Version change for build v0.4.73.0-master.
",5bdcd3c0d4d24ae3e71b3b452a024c6324c7e4bb@gridprotectionalliance.org,2018-12-01 05:34:46 UTC,0,1,57
tylernford/cocina_build,77fc11fe360854c4049d287344070b25ec951246,Update from Forestry.io - gift-card-25.md,73caad885f41f783362e7601ee42006215bd26a7@cocina214.com,2017-11-14 01:03:06 UTC,0,1,41
JpressProjects/jpress,e64d88d747eb31efeb4dc9b0fc3e238e0dab3289,"for v 0.0.1
",be71146f66ecf537db8f8f10f3df619dae2bc0d3@163.com,2016-05-04 02:10:47 UTC,0,1,12
osmandapp/osmandapp.github.io,91ad1c8ce1595b99a772fd3862bd2fb23d67ed3b,"pics
",7fcfdff67f93f1db0f2b9e443a1cab6a1c8b8394@osmand.net,2017-07-26 15:05:40 UTC,0,0,5
victorbrodsky/order-lab,b1f4f8e86c8b1c5f63d6f157aa242c62d726a9b4,"implemented single collapse button (without children collapsing)
",0411fbdaf243f6752ba2cbc504cb104093e3a4a3@med.cornell.edu,2015-04-22 16:41:18 UTC,0,0,65
ivacuum/hosting,3a766c85f440a59f19e1d00cd2a534c91a804c6c,"Дополнение в японском
",aac366da5f90e9ec0e29b273ecc0b9517cf73754@ivacuum.ru,2017-05-30 10:44:04 UTC,0,0,22
burakbayramli/classnotes,a5e488bbde135c37c4a4c90447836d2b6239c432,"-
",da7169592c4847350b7262ccf9f7b41b72c9d0be@localhost.com,2019-07-04 11:34:44 UTC,0,0,2
MQCPack/mqcPack,376af8020258ec0e460b6f4caedce6ec65332eb4,"Updates to h2.
",e60fc250f26e3d0d506755ff1628fdceab176c6a@ucmerced.edu,2019-10-22 18:12:29 UTC,0,0,15
jeonghoonkang/BerePi,3c62e754337b14d868aa50db4cf171fa20d4a72a,Update LICENSE,68fcba4be7e4c4dd4e9d772b2ef2c5fecb550073@gmail.com,2016-05-25 14:59:59 UTC,0,0,14
GridProtectionAlliance/openPDC,ba2b0cf25d1dcea9ac8c871cbf92626219ebf0e9,"Updated SQLite databases.

git-tfs-id: [https://tfs.codeplex.com/tfs/TFS07]$/openpdc/Synchrophasor/Current Version;C72397
",b3b0a1942d06feeb3f25cbfb17852db5fe017d8f@gridprotectionalliance.org,2011-11-18 04:15:28 UTC,0,0,122
sirmatel/sirmatel.github.io,5936919a89dba40874421347b8cff84796e0b068,Update google-universal.html,88782a7f6ab22691b17902dbf13da4442a2f27ef@gmail.com,2019-03-07 19:08:57 UTC,0,0,28
maoruibin/maoruibin.github.com,cbfb9ca9ccf6e8da6a9cebd58317482d3628ce5f,"Only list pages with a title. #69

This skips the page.html, default.html, what-have-you-not pages that should not be listed in this list anyway, which otherwise result in empty bullet points.
",df2fa7c39d141dc5dc5589fed74180e757ed6c9a@zopatista.com,2012-03-24 20:18:17 UTC,0,8,193
InstantKhabar/_source,e955472b11f7261a9bac8cbb7aa234a623c1e887,"New changes
",ab41949825606da179db7c89ddcedcc167b64847@instantkhabar.com,2019-11-20 12:17:36 UTC,0,1,12
ArchStrike/ArchStrike,3b21879e175ebd7c1ac0d8937a5fdc0b7c72dc63,"updated yararules-git to the latest git version
",cbf56e69adf855570d1a618eada5cd66b8d6155a@archstrike.org,2016-12-07 20:53:33 UTC,0,1,48
popkit/pelpa,7804472bafe0d605c3bf2e75d4be188d3b663b4a,"sync melpa.org recipes @ 2018-05-12-18:01.36
",de4b55b94d79470c7ee722b9c3445515f5bd475d@foxmail.com,2018-05-12 10:01:36 UTC,0,0,45
AlisamTechnology/ATSCAN,8874ec1ce73cde57dcfe33d3dbaf22b0b44ea0b0,Update atscan.pl,a99b67a0b42216e51f40779aac0e5ac9227e3e8b@users.noreply.github.com,2015-12-28 21:16:25 UTC,0,0,16
log2timeline/plaso,75f581b689ed4cab63437bc61958c39256cd8159,"Changed tests to check event data #2684 (#2685)

",c00dbb8f3a73f529a0fc5e9b99aa381752dc0845@gmail.com,2019-07-02 17:35:17 UTC,0,0,49
svenhb/GRBL-Plotter,ec17ac95d2a3ee76377453c2a841c34b7ea59a27,Renamed,f729c3387ad803394b02b78ccc5f4b48421bdfd6@gmx.de,2017-01-03 21:20:17 UTC,0,0,7
TheRosettaFoundation/SOLAS-Match,b8f881981056b534d76afddb3d07af3c99f500b0,"Duplicate header?
",b04e785e04b873156a2dff67a8fd3408252d623c@gmail.com,2019-02-05 16:36:39 UTC,0,0,18
vknet/vk,b531972108352fc3e64db6548be3d66e7117ac25,"Merge pull request #138 from inyutin-maxim/news

Реализовал класс NewsFeed",fe25e51c3933cfd64ebe8059637be2210e4fb9ed@gmail.com,2015-10-20 19:20:24 UTC,0,1,74
fightforthefuture/battleforthenet,7daef821ff8c4c5738d7e84d6241242a05e1b718,"Scoreboard: Added Twitter links & animations
",b2d32d4d83db8b264b5bea21a93e13ebdb92dc4d@gmail.com,2014-09-24 09:38:34 UTC,0,0,45
