repo_name,repo_max_extension,repo_extensions_num,files,avg_size,capped_avg_file,std_size,capped_std_file,major_extension,major_files,major_avg_size,major_capped_avg_file,major_std_size,major_capped_std_file,major_extension_ratio
chocolate-doom/chocolate-doom,.sh,3,338,22475.893491124247,19917.917159763329,50515.545573614247,28259.820184802837,.c,331,22857.746223564947,20245.673716012087,50975.787191290772,28460.463580135976,0.97928994082840237
CE-Programming/toolchain,.sh,3,140,4249.8285714285694,4249.8285714285694,18137.474316307576,18137.474316307576,.c,136,4344.264705882355,4344.264705882355,18395.291707284192,18395.291707284192,0.97142857142857142
hughsie/fwupd,.sh,3,226,12115.845132743359,12115.845132743359,18188.892012383047,18188.892012383047,.c,194,13764.907216494852,13764.907216494852,19115.456748296903,19115.456748296903,0.8584070796460177
dynup/kpatch,.sh,3,18,16013.833333333328,16013.833333333328,23403.361398211455,23403.361398211455,.c,14,19707.857142857141,19707.857142857141,25447.123841883895,25447.123841883895,0.77777777777777779
craigbarnes/dte,.sh,3,117,5904.9059829059843,5904.9059829059843,7255.6662197767,7255.6662197767,.c,108,6277.8333333333321,6277.8333333333321,7412.751720206239,7412.751720206239,0.92307692307692313
littlevgl/lvgl,.sh,3,95,25452.789473684206,25194.957894736835,32931.43919227273,31538.910216711403,.c,91,26528.999999999996,26259.83516483516,33239.200403873867,31806.606884336936,0.95789473684210524
justinethier/cyclone,.sh,3,189,11718.476190476189,5295.4074074074078,99595.832826477708,21583.8385292701,.c,178,12233.629213483142,5413.6292134831447,102613.61048702932,22201.927774181891,0.94179894179894175
mikeakohn/naken_asm,.sh,3,254,10139.271653543303,10139.271653543303,13182.124212132674,13182.124212132674,.c,186,13125.629032258066,13125.629032258066,14215.579427573077,14215.579427573077,0.73228346456692917
ptitSeb/gl4es,.sh,3,70,24677.099999999991,24631.74285714285,32531.217348099275,32300.865425515571,.c,66,25986.606060606056,25938.499999999993,33057.693200677459,32818.98310206832,0.94285714285714284
gentoo/portage-utils,.sh,3,167,9002.8622754490989,7923.6586826347375,31108.631709774894,21339.096804762878,.c,157,7431.3184713375795,7177.6751592356686,19508.001319326613,16718.276529539791,0.94011976047904189
rpreen/xcsf,.py,3,48,6756.8541666666679,6756.8541666666679,5054.87387299596,5054.87387299596,.c,44,6451.5,6451.5,4472.28970803079,4472.28970803079,0.91666666666666663
JNechaevsky/russian-doom,.sh,3,581,24531.433734939765,21773.330464715982,55761.172459329959,32385.606022624841,.c,573,24822.670157068074,22026.059336823724,56092.905752789848,32536.736216450026,0.98623063683304646
GNOME/vala,.sh,3,11,20986.727272727276,20986.727272727276,22997.082724080065,22997.082724080065,.c,7,31269.142857142859,31269.142857142859,23224.095909411066,23224.095909411066,0.63636363636363635
cc-hpc-itwm/GPI-2,.sh,3,201,3390.4875621890565,3390.4875621890565,6175.64402480377,6175.64402480377,.c,197,3374.6446700507613,3374.6446700507613,6231.9832018546467,6231.9832018546467,0.98009950248756217
bakpakin/gst,.sh,3,51,12317.882352941177,12317.882352941177,10784.465864653768,10784.465864653768,.c,49,12727.28571428571,12727.28571428571,10798.919519640223,10798.919519640223,0.96078431372549022
ESiWACE/esdm,.sh,3,139,6465.5035971223024,6465.5035971223024,10175.988501906289,10175.988501906289,.c,109,8012.4403669724779,8012.4403669724779,10982.209847640625,10982.209847640625,0.78417266187050361
GNOME/gnome-control-center,.sh,3,242,15609.814049586785,15609.814049586785,16085.638038006457,16085.638038006457,.c,231,16038.424242424235,16038.424242424235,16018.83500790679,16018.83500790679,0.95454545454545459
rauc/rauc,.sh,3,50,12129.02,12129.02,13370.477248652523,13370.477248652523,.c,34,16153.617647058827,16153.617647058827,14051.005942667996,14051.005942667996,0.68
a1an1in/libobject,.sh,3,162,6102.75925925926,6102.75925925926,5793.3641197210691,5793.3641197210691,.c,156,6294.5961538461543,6294.5961538461543,5807.6657914805583,5807.6657914805583,0.96296296296296291
alxm/a2x,.sh,3,70,5553.3571428571413,5553.3571428571413,5619.6308791971833,5619.6308791971833,.c,67,5689.6716417910447,5689.6716417910447,5691.4340936237177,5691.4340936237177,0.95714285714285718
arsv/minibase,.sh,3,432,3200.766203703703,3200.766203703703,3285.9656790740187,3285.9656790740187,.c,418,3294.703349282297,3294.703349282297,3298.9102645222179,3298.9102645222179,0.96759259259259256
kawakami-o3/rcc,.sh,3,9,2170.6666666666665,2170.6666666666665,2955.575959098328,2955.575959098328,.c,5,2034.0,2034.0,3674.9383668301161,3674.9383668301161,0.55555555555555558
wedesoft/aiscm,.sh,3,29,7232.93103448276,7232.93103448276,10136.660121738587,10136.660121738587,.c,22,8517.454545454546,8517.454545454546,10719.140133990284,10719.140133990284,0.75862068965517238
babelouest/glewlwyd,.sh,3,200,33798.354999999996,27493.239999999994,82917.016623838819,40066.1430016359,.c,111,35718.270270270252,28210.756756756757,94692.803080079189,37177.661976763367,0.555
napatech/dpdk,.sh,3,1367,22871.282370153614,21754.566203365026,39574.400155231866,30077.255659990438,.c,1261,24533.689135606688,23323.101506740677,40747.224509026382,30775.145731954253,0.922457937088515
rryqszq4/php7-nginx-module,.sh,3,59,8971.1864406779678,8971.1864406779678,10116.733175995882,10116.733175995882,.c,48,9696.1666666666642,9696.1666666666642,10852.92282101302,10852.92282101302,0.81355932203389836
HackerFoo/poprc,.sh,3,36,15530.027777777779,15530.027777777779,18658.277603077193,18658.277603077193,.c,29,19072.758620689656,19072.758620689656,19186.350070995733,19186.350070995733,0.80555555555555558
ejurgensen/forked-daapd,.sh,3,87,36345.65517241379,30478.793103448275,75841.336284013538,43609.180140631986,.c,63,30244.333333333332,30244.333333333332,34564.080664666159,34564.080664666159,0.72413793103448276
ahezard/nds-bootstrap,.s,3,159,8192.73584905661,8192.73584905661,9827.9420193062761,9827.9420193062761,.c,101,10445.049504950499,10445.049504950499,11461.787879189038,11461.787879189038,0.63522012578616349
cocobot/eurobot-base,.sh,3,253,19698.664031620556,19698.664031620556,28843.86149808663,28843.86149808663,.c,245,20020.616326530613,20020.616326530613,29109.984076078919,29109.984076078919,0.96837944664031617
flatpak/flatpak,.sh,3,126,24518.476190476184,21253.682539682541,57356.234724774506,33936.570636091281,.c,93,31142.827956989244,26719.559139784942,65439.7038428147,37834.633817978029,0.73809523809523814
google/honggfuzz,.sh,3,64,9205.8750000000036,9205.8750000000036,11196.898187969116,11196.898187969116,.c,51,11051.352941176474,11051.352941176474,11802.765601033563,11802.765601033563,0.796875
rockowitz/ddcutil,.sh,3,154,14209.870129870131,14209.870129870131,16975.139036731242,16975.139036731242,.c,144,14665.722222222221,14665.722222222221,17296.46332718321,17296.46332718321,0.935064935064935
P-p-H-d/mlib,.cpp,3,89,5578.1123595505642,5578.1123595505642,5405.0030999028249,5405.0030999028249,.c,76,5320.3026315789475,5320.3026315789475,4873.3737828318672,4873.3737828318672,0.8539325842696629
ocsigen/lwt,.sh,3,123,2286.3902439024391,2286.3902439024391,3281.7006677469722,3281.7006677469722,.c,119,2322.9243697478987,2322.9243697478987,3325.7806351614126,3325.7806351614126,0.967479674796748
GNOME/gtranslator,.sh,3,68,11889.14705882353,11889.14705882353,9826.317945502813,9826.317945502813,.c,64,12506.28125,12506.28125,9793.8702233279,9793.8702233279,0.94117647058823528
xfce-mirror/xfwm4,.sh,3,44,27330.931818181816,27330.931818181816,31142.163375284603,31142.163375284603,.c,41,29242.829268292688,29242.829268292688,31426.41745641908,31426.41745641908,0.93181818181818177
NTAP/warpcore,.sh,3,27,8519.1851851851825,8519.1851851851825,5693.0572565121738,5693.0572565121738,.c,25,8733.600000000004,8733.600000000004,5816.5181380272506,5816.5181380272506,0.92592592592592593
eriksl/esp8266-universal-io-bridge,.pl,3,38,20107.394736842103,20107.394736842103,28284.924810624376,28284.924810624376,.c,36,20003.111111111113,20003.111111111113,28817.282389742424,28817.282389742424,0.94736842105263153
osmocom/osmo-bts,.sh,3,155,13449.148387096773,13449.148387096773,17053.610022207224,17053.610022207224,.c,143,14499.006993006989,14499.006993006989,17349.295443541061,17349.295443541061,0.92258064516129035
sippy/rtpproxy,.sh,3,167,7985.6886227544937,7154.8802395209559,25205.404573657153,14905.577979846401,.c,131,6653.320610687023,6653.320610687023,5735.620646809758,5735.620646809758,0.78443113772455086
GNOME/gxml,.py,3,44,1379.4772727272727,1379.4772727272727,1295.442090088856,1295.442090088856,.c,27,1414.4074074074074,1414.4074074074074,1522.4400268410034,1522.4400268410034,0.61363636363636365
PKRoma/iptables,.sh,3,168,9514.2678571428532,9514.2678571428532,11883.809554961801,11883.809554961801,.c,164,9638.26219512195,9638.26219512195,11983.606628496176,11983.606628496176,0.97619047619047616
cbsd/cbsd,.tpl,3,97,8016.5773195876282,8016.5773195876282,8001.8931664052816,8001.8931664052816,.c,84,8721.9761904761926,8721.9761904761926,8278.388205232628,8278.388205232628,0.865979381443299
linbox-team/fflas-ffpack,.sh,3,144,6419.4305555555538,6419.4305555555538,8133.6609917066826,8133.6609917066826,.c,133,6768.7218045112795,6768.7218045112795,8338.85000642155,8338.85000642155,0.92361111111111116
processhacker2/processhacker,.s,3,401,25296.640897755609,24160.531172069823,39345.440400136875,31991.928460545347,.c,385,25975.631168831165,24792.30649350649,39904.196964861774,32364.522770723059,0.96009975062344144
FluidSynth/fluidsynth,.sh,3,83,19815.301204819269,19263.024096385529,31719.077942237385,28197.544100798663,.c,81,20219.074074074077,19653.160493827159,32002.693351801572,28431.565369522305,0.97590361445783136
lxc/lxc,.sh,3,132,13367.030303030304,13367.030303030304,23579.652398858278,23579.652398858278,.c,127,13828.228346456695,13828.228346456695,23923.567204012539,23923.567204012539,0.96212121212121215
ngtcp2/ngtcp2,.sh,3,69,18912.53623188406,17829.101449275357,40556.720223794822,34576.470345217051,.c,56,19388.642857142855,18053.696428571428,42421.002050840361,35284.228492689908,0.81159420289855078
GNOME/nautilus,.sh,3,162,25889.722222222223,24005.993827160491,47366.635867526333,37917.683095888249,.c,158,26467.424050632904,24536.006329113927,47822.852249501324,38246.5637005215,0.97530864197530864
fastly/lucet,.sh,3,65,999.80000000000007,999.80000000000007,1631.7425999525783,1631.7425999525783,.c,53,726.88679245283026,726.88679245283026,1233.2159281322672,1233.2159281322672,0.81538461538461537
maharmstone/btrfs,.pl,3,69,52875.376811594208,51270.072463768112,60684.512761179918,56057.873675420276,.c,55,58672.127272727266,56658.2,65968.6245886113,60783.59017019131,0.79710144927536231
CZ-NIC/knot,.sh,3,463,7443.4967602591787,7215.6803455723575,15503.832114594887,11619.043805675483,.c,305,9774.7836065573756,9428.95081967213,18324.062109598977,13312.344930930589,0.65874730021598271
bjornbytes/lovr,.lua,3,106,11343.245283018867,11343.245283018867,22039.066296794455,22039.066296794455,.c,104,11382.538461538459,11382.538461538459,22250.121111887278,22250.121111887278,0.98113207547169812
AltraMayor/gatekeeper,.sh,3,52,12769.499999999996,12769.499999999996,18000.268376539585,18000.268376539585,.c,36,16836.055555555558,16836.055555555558,20326.477630272497,20326.477630272497,0.69230769230769229
vvaltchev/experimentOs,.s,3,163,5806.0122699386511,5806.0122699386511,5196.5934188025858,5196.5934188025858,.c,135,5899.77777777778,5899.77777777778,4970.6940769841367,4970.6940769841367,0.82822085889570551
pgmasters/backrest,.pm,3,347,18092.008645533144,17091.527377521626,34409.885124569242,22796.092608372779,.c,221,18598.122171945713,17027.23076923077,40514.747201465325,24438.821206063891,0.63688760806916422
ximion/appstream,.sh,4,73,15609.630136986301,15609.630136986301,22980.085341870134,22980.085341870134,.c,50,20997.56,20997.56,25980.265177638361,25980.265177638361,0.684931506849315
spel-uchile/SUCHAI-Flight-Software,.sh,4,95,4696.7263157894713,4696.7263157894713,6141.9385557145133,6141.9385557145133,.c,59,6038.8474576271183,6038.8474576271183,7184.4218873643531,7184.4218873643531,0.62105263157894741
01org/TPM2.0-TSS,.sh,4,416,9511.4735576923085,9511.4735576923085,12139.783551166747,12139.783551166747,.c,408,9611.7254901960787,9611.7254901960787,12223.331638393422,12223.331638393422,0.98076923076923073
lutoma/xelix,.sh,4,99,4626.8686868686855,4626.8686868686855,3931.8730896081829,3931.8730896081829,.c,91,4939.2637362637379,4939.2637362637379,3943.3454179447531,3943.3454179447531,0.91919191919191923
netblue30/firejail,.sh,4,187,5607.8288770053468,5607.8288770053468,8583.9869739188744,8583.9869739188744,.c,130,7387.1384615384641,7387.1384615384641,9714.1094895249262,9714.1094895249262,0.69518716577540107
openmv/openmv,.sh,4,1060,27172.106603773573,21210.67075471699,88317.432116750511,35956.757051887646,.c,740,37396.494594594558,28857.140540540542,103982.12300628611,40501.027809029736,0.69811320754716977
GNOME/librsvg,.sh,4,26,8582.6153846153848,8582.6153846153848,13582.835780725387,13582.835780725387,.c,20,9566.55,9566.55,14986.510216559846,14986.510216559846,0.76923076923076927
mangOH/mangOH,.sh,4,155,9238.64516129032,9238.64516129032,11621.699392768225,11621.699392768225,.c,103,11904.776699029126,11904.776699029126,13169.30904579908,13169.30904579908,0.6645161290322581
AVSystem/avs_commons,.sh,4,140,9562.7071428571435,9562.7071428571435,10780.075124533972,10780.075124533972,.c,127,10175.433070866145,10175.433070866145,11081.704454304332,11081.704454304332,0.90714285714285714
EtchedPixels/FUZIX,.sh,4,2337,4572.2648694907975,4572.2648694907975,9827.1957228538249,9827.1957228538249,.c,1549,5368.0865074241447,5368.0865074241447,11593.293364100791,11593.293364100791,0.66281557552417625
NLnetLabs/unbound,.sh,4,211,21071.819905213284,20026.052132701421,37413.319970118384,30830.480824172195,.c,160,24570.918750000004,24059.356250000012,34057.967941644907,31295.370957224248,0.75829383886255919
