repository,status,leaver,tfdd_date,tfdd_commit,tfValue
bower/bower,Non-surviving,ANDRE CRUZ,25/03/2014 00:00,7120ad50144677fcffb31002caf18c667faf486a,1
boxen/our-boxen,Non-surviving,WILL FARRINGTON,09/12/2013 00:00,c799af58693a7223db820ec045b9c2fb9916b828,2
boxen/our-boxen,Non-surviving,JOHN BARNETTE,15/02/2013 00:00,8dab540720d13dcc1805773ebf0eda357936d6a0,2
brandonhilkert/sucker_punch,Non-surviving,BRANDON HILKERT,25/04/2016 00:00,31476aa0ad0351f7956ae834951c58a0e50b6b47,1
breach/thrust,Non-surviving,STANISLAS POLU,13/12/2014 00:00,6a14cc53905126e159018b5a345c1d7cf4e2954f,1
browsermedia/browsercms,Non-surviving,PATRICK PEAK,30/09/2014 00:00,d6545571ef199c554b5ddec3f3e5729536a54e4f,1
brynary/webrat,Non-surviving,BRYAN HELMKAMP,15/06/2012 00:00,004cc24c3d532508ffb51133d1505ff2e55f1fdc,1
c3js/c3,Non-surviving,MASAYUKI TANAKA,03/05/2016 00:00,223404a79246c61d150d8a209dbdc81f6955083b,1
caolan/async,Surviving,CAOLAN MCMAHON,27/05/2014 00:00,232121251f601c9be7209f6382ee32180df676f1,1
capistrano/capistrano,Surviving,TOM CLEMENTS,18/01/2014 00:00,1f86d32fd48d08311b92446e1db428613b180309,1
carltongibson/django-filter,Surviving,NKRYPTIC,30/03/2013 00:00,24f8f1318b1c23bb3fe2ce31f681d28d11a1aaaf,2
carltongibson/django-filter,Surviving,ALEX GAYNOR,02/04/2011 00:00,51b39fca089f2cb1d3d3501d2e164635fbe52864,2
carrierwaveuploader/carrierwave,Non-surviving,JONAS NICKLAS,23/10/2011 00:00,7ca72b689df9ea745ebb6ddade35757021f7262c,1
casperjs/casperjs,Non-surviving,NICOLAS PERRIAULT,20/01/2016 00:00,254a107ab0e0c2b2999019f9367f1b4e58045a46,1
CellularPrivacy/Android-IMSI-Catcher-Detector,Surviving,XLAMBCHOPSX,20/09/2014 00:00,4125d9083af4262910902933853b26c9b83c5dca,3
CellularPrivacy/Android-IMSI-Catcher-Detector,Surviving,E:V:A,01/09/2015 00:00,2e44d298f1fe2e34367f4babdf133e33b2c29a71,3
CellularPrivacy/Android-IMSI-Catcher-Detector,Surviving,PAUL KINSELLA,02/08/2015 00:00,df519e30b679fcd13c8f7af5d7ab5538478709f4,3
chennaione/sugar,Surviving,HUU NGUYEN,11/04/2015 00:00,5884ddddaf0302b861c7018fe1f54f1cff3c25e5,1
chrisbanes/PhotoView,Non-surviving,MAREKSEBERA,29/04/2015 00:00,e365829697519a0a809e026bcf3a771f75fefa36,1
chriso/validator.js,Non-surviving,MUHAMMAD FAWWAZ ORABI,21/02/2016 00:00,a33b64b3d936c857e197a7c85c026d0d75c645a2,1
Circa75/dropplets,Non-surviving,JASON SCHULLER,13/05/2014 00:00,09ab4bdedce2de3505837afb44b9be817845616c,1
cloudera/hue,Surviving,BCWALRUS,24/11/2014 00:00,5d13ff8c695792fb9bc090cd61c8d8987afd9f54,2
cloudera/hue,Surviving,ABEC,05/03/2015 00:00,0d1620e3f95c65342ba8876f1404dcb193d114e8,2
cloudius-systems/osv,Surviving,CHRISTOPH HELLWIG,16/08/2013 00:00,42912366bfd2bb4ea5845c73fad41029221b710d,4
cloudius-systems/osv,Surviving,AVI KIVITY,26/10/2015 00:00,852cad7b71caa8f7a91bd7c948d5c3e3647b013c,4
cloudius-systems/osv,Surviving,GUY ZANA,12/09/2013 00:00,3109fd9316f994f22c0b3c9c9e53f1453fbe1814,4
cloudius-systems/osv,Surviving,GLAUBER COSTA,12/11/2015 00:00,d0b28fc0023c606c7a455b8e60da709882ac757b,4
code-troopers/android-betterpickers,Non-surviving,DEREK BRAMEYER,15/04/2014 00:00,e07ec110ec1885f3a2492014898c47a85f84afb0,1
codebrew/backbone-rails,Non-surviving,RYAN FITZGERALD,02/02/2013 00:00,a49f2ea65e1d70d206f6608bd405fb1968f6d070,1
CodeSeven/toastr,Non-surviving,JOHN PAPA,16/08/2015 00:00,8bbd8db7a8dd4f8e6ddcbca2acf4a2e88aab86f4,1
collectiveidea/awesome_nested_set,Surviving,BRANDON KEEPERS,27/11/2009 00:00,2972647cd57b500deea58c80ef5cb0e39f6cbc65,1
composer/satis,Surviving,JAMESREZO,15/12/2015 00:00,f4f60963aff3d8070ad4d831037b95fd6b3b8d2a,2
composer/satis,Surviving,JORDI BOGGIANO,11/08/2015 00:00,0dd53e18696aab506504c48932a77fcd71fffc19,2
ctran/annotate_models,Surviving,JON FRISBY,27/08/2012 00:00,112ebfa20af4a02da822c0dac232a014a27a7682,1
CyberAgent/android-gpuimage,Non-surviving,PATRICK BOOS,16/10/2013 00:00,d4012a80dd9834e01885f425e7809b2c789f4bcb,1
DatabaseCleaner/database_cleaner,Non-surviving,JON ROWE,02/01/2015 00:00,181ebbce5cf982269160b66fa969ab4bc4f55f9b,4
DatabaseCleaner/database_cleaner,Non-surviving,BEN MABEY,23/05/2014 00:00,8d7f72ffc99befd5ce67d333a99e0cf054c24f81,4
DatabaseCleaner/database_cleaner,Non-surviving,STANISLAW,04/08/2012 00:00,0786cb049754c679015c661c2e01dd50fca051f8,4
DatabaseCleaner/database_cleaner,Non-surviving,JAMES CONROY-FINN,11/05/2013 00:00,b70f09a3ed86e5a05d3fa419faef4801210a4fad,4
DavyJonesLocker/client_side_validations,Non-surviving,BRIAN CARDARELLA,22/09/2013 00:00,659846af18ca1dcaf9070aea1053a82b61c39430,1
daylerees/colour-schemes,Surviving,JAMES,24/11/2012 00:00,d289256272a0d42c18790cc8a9180db5a4048802,1
defunkt/jquery-pjax,Non-surviving,JOSHUA PEEK,10/09/2014 00:00,efe7c5c8803643dd90f03881b3a3ae85a5fe9054,1
devopsgroup-io/vagrant-digitalocean,Non-surviving,SHAWN DAHLEN,31/08/2014 00:00,6643ae8338d5cf08645fe45806abb82036012534,2
devopsgroup-io/vagrant-digitalocean,Non-surviving,JOHN BENDER,02/04/2013 00:00,37db459938793c7434784e8b2d42e438553d5aee,2
django-compressor/django-compressor,Surviving,JANNIS LEIDEL,30/12/2014 00:00,4c3ae4cdfc3bd5026da45c3233d59a4ad608aed3,2
django-compressor/django-compressor,Surviving,LUCAS TAN,06/04/2014 00:00,2be6c52d5cf170bba6e5a7dbdb0bfededd86c1ba,2
django-haystack/django-haystack,Surviving,DANIEL LINDSLEY,13/10/2014 00:00,2fbb9029967c1f9f95bbf57ba61e4722a7883c42,1
django-tastypie/django-tastypie,Surviving,DANIEL LINDSLEY,22/10/2014 00:00,edfe2c44dc9d3a97e1a645ceef9e23fd95724b37,2
django-tastypie/django-tastypie,Surviving,CODY SOYLAND,09/09/2010 00:00,683b3d374e052ef73d224b3fdbdc3c6a400df0fe,2
docker/kitematic,Non-surviving,JEFFREY MORGAN,11/02/2016 00:00,902fb2ec6618f387bac45729d4c422756e11f8d2,1
dompdf/dompdf,Non-surviving,PHENX,06/12/2015 00:00,075f082fba49a762576eca4aa8127899bd6760a2,2
dompdf/dompdf,Non-surviving,BENJ CARSON,29/04/2009 00:00,2df4fb9331dc0b66ada9a26c8d099741f89af33c,2
doorkeeper-gem/doorkeeper,Non-surviving,FELIPE ELIAS PHILIPP,28/08/2013 00:00,23bc9a0a0a93be35e40dd44d87417b16339efde5,1
douban/dpark,Surviving,DAVIES LIU,08/08/2013 00:00,4488457ceba54a991a02e873ec3336ebeefad7e4,1
drapergem/draper,Non-surviving,ANDREW HAINES,17/07/2013 00:00,2aaf95bd82b13cb09124e14107ecdc134f1cdf89,2
drapergem/draper,Non-surviving,STEVE KLABNIK,21/12/2014 00:00,724e735a0310bd29412749a4fdbed376db5d580f,2
dropwizard/dropwizard,Surviving,CODA HALE,27/03/2014 00:00,34b95f5c78282e1fec3d0ab32fd06337a1994494,1
dropwizard/metrics,Non-surviving,CODA HALE,03/12/2013 00:00,b0f9f9e29bd30f8db668afe68f1abc595bf901f3,2
dropwizard/metrics,Non-surviving,TOBIAS BIENIEK,08/09/2014 00:00,fc3f294bbf39c1becd400cb0338ca265a94ea1ee,2
ecomfe/echarts,Surviving,KENER,20/03/2015 00:00,fe4388161abd4d9a29db2387ee91e74bd38e1f9e,1
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,Non-surviving,DMITRY-ME,16/05/2015 00:00,ad4b9a5ee5728fc729038ab46f8e0642805e4f51,1
erikhuda/thor,Non-surviving,JOSE VALIM,26/03/2013 00:00,3c5a459eb0f27410d632734994f805b1e3484acd,1
errbit/errbit,Surviving,JARED PACE,08/03/2012 00:00,e989d07087aeebea20f643e5ef1ef7e8459e286a,3
errbit/errbit,Surviving,NATHAN BROADBENT,04/05/2013 00:00,0321d1536a3d7abe6cdec6447e94e2bba8796cd6,3
errbit/errbit,Surviving,CYRIL MOUGEL,30/04/2014 00:00,78c34e2fa7c690014599644679d468b767aaf893,3
es-shims/es5-shim,Surviving,BENJAMIN HORSLEBEN,11/07/2011 00:00,ea63a085c0cf5ecff7bfcb91d38af4a52540a2f5,2
es-shims/es5-shim,Surviving,RAYNOS,18/01/2012 00:00,28eeea69aa36e98fc32ffd3204fabc307abff921,2
esnme/ultrajson,Non-surviving,JONAS TARNSTROM,29/10/2014 00:00,0a2933f74f76930d6d20a06d506659e87a5e45ad,1
etsy/logster,Surviving,RAFAEL81,26/02/2013 00:00,62e8200c86ea56534a5b92f22c924ed0bdfff2ed,7
etsy/logster,Surviving,MARC ABRAMOWITZ,08/05/2012 00:00,5e1246461841625a58afe25fc8eb271322ada32b,7
etsy/logster,Surviving,MIKE BRITTAIN,10/04/2012 00:00,f60dd6a0cfe91d1eb60f2567b02c511150102e33,7
etsy/logster,Surviving,MARK CROSSFIELD,25/06/2012 00:00,72bb27080589628438df494aea33aefb977033c2,7
etsy/logster,Surviving,DANIEL SCHAUENBERG,15/01/2014 00:00,7475c53822c2e22d0994ea059bfd482044019a5b,7
etsy/logster,Surviving,HORACIO GONZALEZ,29/06/2012 00:00,c9debe47f7b89d792fb0560501bb013ab1175257,7
etsy/logster,Surviving,JULIEN PIVOTTO,18/09/2012 00:00,71580933ef651ba92f06dcc09d18bd1ea50d13f3,7
euske/pdfminer,Non-surviving,YUSUKE.SHINYAMA.DUMMY,25/12/2010 00:00,866f2bbb75df159c0f142e9f9082a86f7848cf0b,1
eventmachine/eventmachine,Non-surviving,AMAN GUPTA,08/05/2015 00:00,98b0d480091fd12a4a1f9294f75a5903d9215e06,2
eventmachine/eventmachine,Non-surviving,BLACKHEDD,19/01/2008 00:00,b541df503bde95dfe416d9b7fabe5822081af69a,2
expressjs/express,Surviving,TJ HOLOWAYCHUK,19/02/2014 00:00,6b05f60badd3cf8e88ec46e192703dd5f3d31071,1
eyecatchup/SEOstats,Non-surviving,CLEMENS SAHS,27/08/2014 00:00,03cf5f9ff5b627febe4d35751532e6ab8aaa36b6,1
facebook/facebook-android-sdk,Surviving,STEVEN SONEFF,25/06/2010 00:00,b7064910e2c09f84db46cfec162f8939496be777,1
facebook/hhvm,Non-surviving,PTARJAN,12/06/2015 00:00,242cfe568e06f06ac57688398a9fb954ad0c890b,2
facebook/hhvm,Non-surviving,LIRAN NUNA,14/08/2014 00:00,e7084a7f7d652420a30e4d9d6fa0d1d222ef6d42,2
facebook/php-webdriver,Surviving,JANOS PASZTOR,01/06/2015 00:00,3cc6f36d8e5d155376e00ff7405126713e3983b2,2
facebook/php-webdriver,Surviving,WHHONE,02/06/2014 00:00,bb9c3903c508df7cf920bed85fd8934ec71fecf5,2
facebook/wangle,Non-surviving,JSEDGWICK,22/10/2015 00:00,ce63d162f168e90e8c913a8e712de1953cbbc033,1
fail2ban/fail2ban,Non-surviving,CYRIL JAQUIER,03/10/2011 00:00,ec4fda8a1f04b598acddde23349ba21d0f097074,2
fail2ban/fail2ban,Non-surviving,STEVEN HISCOCKS,09/05/2015 00:00,0c869910eae722f2be9d79d22975400fcb2ef5cd,2
farbrausch/fr_public,Surviving,FABIAN 'RYG' GIESEN,28/11/2012 00:00,771572095760c10341bd0d874ec20cdd903b468b,1
fatfreecrm/fat_free_crm,Non-surviving,MIKE DVORKIN,26/03/2013 00:00,8b3f51e6f32437c4c999a93992378ae4ba9d33e2,2
fatfreecrm/fat_free_crm,Non-surviving,BEN TILLMAN,06/03/2015 00:00,bcdd1aab6850b35f7536a0bdbfdac35bbdf9f67c,2
fetlife/rollout,Surviving,JAMES GOLICK,24/07/2013 00:00,7a15a1c4784639de391df4ca3d8b68e9375f308c,1
fex-team/fis,Non-surviving,TIANLILI,16/12/2014 00:00,fb6e3f66eb4430aed92b25f6bf702077cdc61b85,1
filp/whoops,Surviving,FILP,22/11/2015 00:00,d892dc5147e6beebf76e56232a0c9a6e5a9dc33c,1
flot/flot,Non-surviving,OLAU@IOLA.DK,17/03/2011 00:00,284dfa13e448b824348507dd44763c3e04b8fc78,1
flyerhzm/bullet,Surviving,SVEN RIEDEL,26/06/2010 00:00,5e45dc6572286f3538a5bd3858f1a1af892fd716,1
formers/former,Non-surviving,MAXIME FABRE,03/09/2015 00:00,ef2d6224eb5daff81b111af977b6b0ef9e2c7ea5,1
freedomofpress/securedrop,Surviving,AARON SWARTZ,03/07/2012 00:00,b32e1a5f22ff0a999aa9a69b5ea0c1d8872b336a,1
FrozenNode/Laravel-Administrator,Non-surviving,GREGORY CLAEYSSENS,01/03/2014 00:00,25b401bc91daa8b210770f9e35e03a42c8821735,1
fruux/Baikal,Non-surviving,JEROME SCHNEIDER,18/02/2014 00:00,9d1d7adba68a1bb10ad1eef2c251f81de644e128,1
fuel/fuel,Non-surviving,DAN HORRIGAN,13/12/2011 00:00,695d89326debdf398ca5294798b041d77f6a84c0,1
gaearon/react-hot-loader,Non-surviving,DAN ABRAMOV,04/05/2016 00:00,62881d97ca74907bc6de86399eb6b022c7bbc591,1
geokit/geokit,Surviving,JAMES COX,07/08/2012 00:00,e712f0a7b21aaf7f974a4cf401288299c24a2a83,2
geokit/geokit,Surviving,ANDRE LEWIS,27/05/2011 00:00,a4e0c3d2781c479d2882ebbb50973e86c2316ea7,2
geokit/geokit-rails,Surviving,JEREMY LECOUR,31/01/2012 00:00,d8348d2da0e9b612757e1a1c58f76fada8609e9e,2
geokit/geokit-rails,Surviving,BRENNAN DUNN,29/09/2009 00:00,ec302aa7e8161f0d05d5ab2742a0d1f5ff312065,2
getpelican/pelican,Surviving,BRUNO BINET,01/03/2013 00:00,03f87057c2110acf3d9f605aa68ddad42eb15ae2,2
getpelican/pelican,Surviving,ALEXIS METAIREAU,07/11/2013 00:00,9fe3d3c937e0efebc52e017ec104799028b27dff,2
gevent/gevent,Non-surviving,DENIS BILENKO,08/02/2016 00:00,0fcb1ea5edbf786060ac4a5d03fca01e04efe01e,1
giakki/uncss,Non-surviving,GIACOMO MARTINO,14/02/2016 00:00,43e0cc6ccc45afa0cff4e2020604b7a1127d29c2,2
giakki/uncss,Non-surviving,BEN BRIGGS,25/01/2015 00:00,ee4bfbc7b96da77877b08d0d517bb80e1753164a,2
github/github-services,Non-surviving,RICK,03/11/2014 00:00,a49f31f6c59cc76fbe717adbeb38fc07a29e1369,2
github/github-services,Non-surviving,COREY DONOHOE,26/11/2014 00:00,2d38d6bba02efe05017ea6ed90b20540dbf48e4e,2
github/markup,Surviving,CHRIS WANSTRATH,07/07/2010 00:00,43afedb678f525d2980f9591a399a16eaa8435fe,1
globalize/globalize,Surviving,SVEN FUCHS,11/01/2011 00:00,64e792a2bb7715aa9adcd9efa007ea99aa6dd6b7,1
gollum/gollum,Non-surviving,SIMONZACK,28/01/2015 00:00,3be2e76ec0f55346f19ef3f94daf80e780471e72,2
gollum/gollum,Non-surviving,BOOTSTRAPONLINE,05/04/2014 00:00,ff82ddea9740b1ca7206c17af4f55a6250ba3cfd,2
google/iosched,Surviving,BRUNO OLIVEIRA,12/08/2014 00:00,4ad38db3d90fcc7d20784af1f9dee3c508fabfd4,1
googlevr/gvr-android-sdk,Surviving,TREVOR JOHNS,25/06/2014 00:00,c216370c70d34c8235cf9dab883f9c23cd456fa1,2
googlevr/gvr-android-sdk,Surviving,SAM STERN,10/12/2014 00:00,0d961c7b802ce47336187cfc6010ad880c44eb55,2
grbl/grbl,Surviving,SIMEN SVALE SKOGSRUD,02/08/2011 00:00,517a0f659a06182c89cafe27ee371edccad777a4,1
Grive/grive,Surviving,MATCHMAN GREEN,20/06/2012 00:00,f4b3e488ee72ec381c5b30f807ec6a75f915aa97,1
gruntjs/grunt,Non-surviving,BEN ALMAN,05/05/2015 00:00,0a968d0becd81e78851da108b0961cc42a4744c5,1
HabitRPG/habitica,Surviving,TYLER RENELLE,08/05/2015 00:00,382add82c3aa8da1027db553b72a9d04df03bfe9,1
haml/haml,Surviving,NATHAN WEIZENBAUM,16/12/2011 00:00,630b8fe2033e698768a67a923960a14e1d02100f,1
handsontable/handsontable,Surviving,MARCIN WARPECHOWSKI,09/01/2015 00:00,b653a7d85b0ae70516d3da5d5e72729d80407338,2
handsontable/handsontable,Surviving,PAWEŁ SMOLENSKI,10/06/2014 00:00,51790591bf94eac06a73cfeed0d8352b87163fab,2
hashrocket/decent_exposure,Non-surviving,JOSHUA DAVEY,06/01/2015 00:00,08837d32ef73b40cf1a10846a134523460238dc8,2
hashrocket/decent_exposure,Non-surviving,STEPHEN CAUDILL,19/12/2013 00:00,a7044ff350b7dbc120014fecf017edb4cfe0acba,2
hexchat/hexchat,Non-surviving,BERKE VIKTOR,04/02/2015 00:00,a216ed1df9394325bc573cd3f1693eb467a89938,1
htacg/tidy-html5,Surviving,MICHAEL[TM] SMITH,21/08/2012 00:00,0cf6d998431a61f1bd630e7883d4d43df4ad8ccc,1
HubSpot/tether,Non-surviving,NICHOLAS HWANG,21/02/2016 00:00,ee050011a045169957739f1e85298828d94b56dc,2
HubSpot/tether,Non-surviving,ADAM SCHWARTZ,29/07/2015 00:00,a6537e48c807cd4abdf239fc8edcd0adb71a024f,2
hybridauth/hybridauth,Non-surviving,HYBRIDAUTH,03/10/2014 00:00,5b27ea2a91da4fe153bd2474af0ab8133684434a,2
hybridauth/hybridauth,Non-surviving,TEREHRU,31/10/2015 00:00,ad4a20a90016d5586e5adc13f458dea89f6578df,2
igrigorik/em-websocket,Non-surviving,MARTYN LOUGHRAN,24/01/2015 00:00,b8142915b09d84e79b06548a1468e42bf64439b3,1
insoshi/insoshi,Non-surviving,BLAZAR,20/07/2008 00:00,16c0cfe59e7bb047d534a0bf1479dc27c44e51e3,1
Intervention/image,Surviving,ERIC JONES,24/09/2013 00:00,d4ff0e8ca10429ffbf14bf76b3747e6adf890a4b,1
j4mie/idiorm,Surviving,JAMIE MATTHEWS,30/01/2011 00:00,c956f1c8250cfb07c29f5b14a43e2ca30747e2d6,1
j4mie/paris,Surviving,JAMIE MATTHEWS,30/01/2011 00:00,d8f5967b42cfe0540867e9a3a2e2d8bcbbc9b156,1
JacksonTian/fks,Non-surviving,HAOJU ZHENG,03/03/2015 00:00,6f269d1d5fdc9cf641fea366691446848fe287de,1
jacomyal/sigma.js,Non-surviving,ALEXIS JACOMY,10/12/2014 00:00,8f730ae33fc9a2c68c443eae831feb6ee3898e91,2
jacomyal/sigma.js,Non-surviving,SEBASTIEN HEYMANN,01/03/2015 00:00,700e22189a31e482abd7a4b4e49e06d1a596a59f,2
janl/mustache.js,Non-surviving,MICHAEL JACKSON,16/10/2015 00:00,81cec3f5bf5f41a7e605ff2b50f2be119dfc1983,2
janl/mustache.js,Non-surviving,JAN LEHNARDT,21/09/2015 00:00,42d0ebd850f2474492b59af4366e3d1594967c83,2
jashkenas/ruby-processing,Surviving,JEREMY ASHKENAS,28/12/2012 00:00,7ce50a65355bfc2f22413ad4ccf2771111d06c43,1
jerryscript-project/jerryscript,Surviving,E.GAVRIN,11/12/2015 00:00,2c3c952fc9dc9eb2e4e70284a6b3fc7546ef2548,1
joemccann/dillinger,Non-surviving,MARTIN BRODER,31/03/2015 00:00,c8a7cc456e36ebd6e21161a9affeaa5ef3476586,1
joestump/python-oauth2,Non-surviving,JOE STUMP,29/07/2015 00:00,b909b4808de79dacd6472c6bbb9d3fc02931e128,3
joestump/python-oauth2,Non-surviving,ZOOKO OFSIMPLEGEO,15/02/2011 00:00,81326a07d1936838d844690b468660452aafdea9,3
joestump/python-oauth2,Non-surviving,TRES SEAVER,05/06/2013 00:00,0406587033cf35bd7e59b41ea98eaa4e79fd6239,3
josevalim/rails-footnotes,Surviving,JOSE VALIM,22/12/2009 00:00,a934566c83159102c1b086aae4c39784409fea83,2
josevalim/rails-footnotes,Surviving,ROMAN V. BABENKO,13/05/2014 00:00,961015b3a73c2a0fc6b9501fc001e6eb082b7025,2
jquery-validation/jquery-validation,Non-surviving,JORN ZAEFFERER,03/09/2015 00:00,6129ab613ea828a65b05dcdfd7d2e74fa7265e02,2
jquery-validation/jquery-validation,Non-surviving,NICK SCHONNING,17/06/2014 00:00,764a72a1d1c2a72c72dd4127c6aeb8feb5ce3aa9,2
jquery/sizzle,Surviving,JOHN RESIG,10/05/2011 00:00,3ba396e439a07c2a2facafbe07cdaa1b80a24c00,1
junit-team/junit4,Non-surviving,DAVID SAFF,10/08/2015 00:00,3e43555e1f4df95b0a239f453af6d3226a8fef6e,2
junit-team/junit4,Non-surviving,KBECK,28/01/2009 00:00,d9c81356e3a2fbb165c71b32d63d0cc39a1bd861,2
justinwalsh/daux.io,Surviving,GAUTHAM WARRIER,20/11/2014 00:00,c34ff07ed03670b6fc1e16c2d3acdf7a49ed8a12,2
justinwalsh/daux.io,Surviving,LEOCOLOMB,17/02/2014 00:00,30e0d27509cb4e14fcff5de5100520328dd37d13,2
jwt/ruby-jwt,Surviving,JEFF LINDSAY,24/11/2014 00:00,d46fa821fa5509dacdfdc433d457b21b2268a22f,3
jwt/ruby-jwt,Surviving,BOB AMAN,01/05/2014 00:00,a96742d9d0fd652b08023b2f0fd9e2b8607c234e,3
